DATE,PPCEND,PCEND,CNP16OV,SP500,GS1
01-01-59,19.874,125.1,114582,55.45,3.36
01-02-59,19.882,125.4,114712,55.41,3.54
01-03-59,19.868,127.7,114849,55.44,3.61
01-04-59,19.88,125.6,114986,57.59,3.72
01-05-59,19.858,128,115144,58.68,3.96
01-06-59,19.903,127.9,115287,58.47,4.07
01-07-59,19.923,127.3,115429,60.51,4.39
01-08-59,19.962,127.9,115555,59.6,4.42
01-09-59,20.013,129.4,115668,56.88,5
01-10-59,20.062,129.8,115798,57.52,4.8
01-11-59,20.028,129,115916,58.28,4.81
01-12-59,20.032,129.7,116040,59.89,5.14
01-01-60,20,129.6,116594,55.61,5.03
01-02-60,20.001,128.4,116702,56.12,4.66
01-03-60,20.037,130.8,116827,55.34,4.02
01-04-60,20.163,134.1,116910,54.37,4.04
01-05-60,20.154,130.3,117033,55.83,4.21
01-06-60,20.15,131.5,117167,56.92,3.36
01-07-60,20.182,132.2,117281,55.51,3.2
01-08-60,20.227,131.4,117431,56.96,2.95
01-09-60,20.238,131.1,117521,53.52,3.07
01-10-60,20.272,132.6,117643,53.39,3.04
01-11-60,20.343,133.1,117829,55.54,3.08
01-12-60,20.373,131.5,118001,58.11,2.86
01-01-61,20.368,132.3,118155,61.78,2.81
01-02-61,20.378,133.3,118250,63.44,2.93
01-03-61,20.334,134.6,118358,65.06,2.88
01-04-61,20.241,133.9,118503,65.31,2.88
01-05-61,20.223,134.3,118638,66.56,2.87
01-06-61,20.189,134.5,118767,64.64,3.06
01-07-61,20.253,133.9,118889,66.76,2.92
01-08-61,20.265,134.6,119006,68.07,3.06
01-09-61,20.248,135.3,119107,66.73,3.06
01-10-61,20.224,135.3,119202,68.62,3.05
01-11-61,20.226,136.3,119153,71.32,3.07
01-12-61,20.202,136.9,119214,71.55,3.18
01-01-62,20.235,137.2,119300,68.84,3.28
01-02-62,20.323,137.4,119360,69.96,3.28
01-03-62,20.331,138.9,119476,69.55,3.06
01-04-62,20.38,139,119702,65.24,2.99
01-05-62,20.353,139.5,119813,59.63,3.03
01-06-62,20.317,137.8,119943,54.75,3.03
01-07-62,20.255,138.2,120128,58.23,3.29
01-08-62,20.309,139.2,120323,59.12,3.2
01-09-62,20.545,142.5,120653,56.27,3.06
01-10-62,20.494,141,120856,56.52,2.98
01-11-62,20.49,141.7,121045,62.26,3
01-12-62,20.443,141.8,121236,63.1,3.01
01-01-63,20.516,142.8,121463,66.2,3.04
01-02-63,20.533,141.9,121633,64.29,3.01
01-03-63,20.467,142.7,121824,66.57,3.03
01-04-63,20.441,142.1,121986,69.8,3.11
01-05-63,20.467,142.4,122162,70.8,3.12
01-06-63,20.548,143.9,122352,69.37,3.2
01-07-63,20.632,144.7,122521,69.13,3.48
01-08-63,20.684,146.5,122667,72.5,3.53
01-09-63,20.591,144.3,122821,71.7,3.57
01-10-63,20.628,144,123014,74.01,3.64
01-11-63,20.675,145,123192,73.23,3.74
01-12-63,20.73,146.9,123360,75.02,3.81
01-01-64,20.799,147.2,123560,77.04,3.79
01-02-64,20.805,148.9,123707,77.8,3.78
01-03-64,20.8,149.8,123857,78.98,3.91
01-04-64,20.805,149.4,124019,79.46,3.91
01-05-64,20.772,152.3,124204,80.37,3.84
01-06-64,20.814,152.7,124386,81.69,3.83
01-07-64,20.848,154.3,124567,83.18,3.72
01-08-64,20.834,155.5,124731,81.83,3.74
01-09-64,20.897,154.8,124920,84.18,3.84
01-10-64,20.91,155.8,125108,84.86,3.86
01-11-64,20.945,153.6,125291,84.42,3.91
01-12-64,20.978,157.9,125468,84.75,4.02
01-01-65,21.001,157.3,125647,87.56,3.94
01-02-65,20.987,159,125810,87.43,4.03
01-03-65,21.036,157,125985,86.16,4.06
01-04-65,21.092,160,126155,89.11,4.04
01-05-65,21.161,161.3,126320,88.42,4.03
01-06-65,21.366,161,126499,84.12,3.99
01-07-65,21.37,163.8,126573,85.25,3.98
01-08-65,21.317,163.4,126756,87.17,4.07
01-09-65,21.281,165,126906,89.96,4.2
01-10-65,21.321,170.6,127043,92.42,4.3
01-11-65,21.348,169.8,127171,91.61,4.37
01-12-65,21.444,171.2,127294,92.43,4.72
01-01-66,21.525,172.5,127394,92.88,4.88
01-02-66,21.674,174.3,127514,91.22,4.94
01-03-66,21.774,175.4,127626,89.23,4.97
01-04-66,21.846,177.7,127744,91.06,4.9
01-05-66,21.825,176.2,127879,86.13,4.93
01-06-66,21.852,177.9,127983,84.74,4.97
01-07-66,21.867,179.7,128102,83.6,5.17
01-08-66,22.02,179.1,128240,77.1,5.54
01-09-66,22.096,180.5,128359,76.56,5.82
01-10-66,22.124,180,128494,80.2,5.58
01-11-66,22.13,180.7,128627,80.45,5.54
01-12-66,22.142,180.5,128730,80.33,5.2
01-01-67,22.124,181.5,128909,86.61,4.75
01-02-67,22.135,182.7,129032,86.78,4.71
01-03-67,22.119,182.9,129190,90.2,4.35
01-04-67,22.109,183.6,129344,94.01,4.11
01-05-67,22.143,183.6,129515,89.08,4.15
01-06-67,22.229,184.9,129722,90.64,4.48
01-07-67,22.321,183.7,129918,94.75,5.01
01-08-67,22.405,185.8,130187,93.64,5.13
01-09-67,22.454,187.8,130392,96.71,5.24
01-10-67,22.482,185.1,130582,93.3,5.37
01-11-67,22.566,187.8,130754,94,5.61
01-12-67,22.583,190.7,130936,96.47,5.71
01-01-68,22.701,191.3,131112,92.24,5.43
01-02-68,22.791,193,131277,89.36,5.41
01-03-68,22.84,196.4,131412,90.2,5.58
01-04-68,22.914,195.8,131553,97.46,5.71
01-05-68,23.008,197.3,131712,98.68,6.14
01-06-68,23.059,200.3,131872,99.58,5.98
01-07-68,23.123,202.6,132053,97.74,5.65
01-08-68,23.228,203.7,132251,98.86,5.43
01-09-68,23.289,202.2,132446,102.67,5.45
01-10-68,23.404,203.5,132617,103.41,5.57
01-11-68,23.47,207,132903,108.37,5.75
01-12-68,23.494,204.5,133120,103.86,6.19
01-01-69,23.586,207.3,133324,103.01,6.34
01-02-69,23.602,209.3,133465,98.13,6.41
01-03-69,23.703,209.9,133639,101.51,6.34
01-04-69,23.837,210.8,133821,103.69,6.26
01-05-69,23.93,213.6,134027,103.46,6.42
01-06-69,24.113,212.3,134213,97.71,7.04
01-07-69,24.221,214.6,134414,91.83,7.6
01-08-69,24.273,217.3,134597,95.51,7.54
01-09-69,24.39,216,134774,93.12,7.82
01-10-69,24.412,219.2,135012,97.12,7.64
01-11-69,24.549,219.3,135239,93.81,7.89
01-12-69,24.698,220.7,135489,92.06,8.17
01-01-70,24.799,224.5,135713,85.02,8.1
01-02-70,24.907,224,135957,89.5,7.59
01-03-70,24.902,225,136179,89.63,6.97
01-04-70,25.071,224.7,136416,81.52,7.06
01-05-70,25.124,227.2,136686,76.55,7.75
01-06-70,25.146,227.8,136928,72.72,7.55
01-07-70,25.23,228.3,137196,78.05,7.1
01-08-70,25.251,229.1,137455,81.52,6.98
01-09-70,25.369,231.7,137717,84.3,6.73
01-10-70,25.473,232.5,137988,83.25,6.43
01-11-70,25.494,233.5,138264,87.2,5.51
01-12-70,25.558,237.4,138529,92.15,5
01-01-71,25.513,236.3,138795,95.88,4.57
01-02-71,25.533,236.5,139021,96.75,3.89
01-03-71,25.605,234.6,139285,100.31,3.69
01-04-71,25.712,238.1,139566,103.95,4.3
01-05-71,25.809,237.8,139826,99.63,5.04
01-06-71,25.929,240.6,140090,98.7,5.64
01-07-71,25.948,239.1,140343,95.58,6.04
01-08-71,26.066,240.3,140596,99.03,5.8
01-09-71,26.114,241.8,140869,98.34,5.41
01-10-71,26.152,241.2,141146,94.23,4.91
01-11-71,26.177,244,141393,93.99,4.67
01-12-71,26.298,245.6,141666,102.09,4.6
01-01-72,26.391,243.2,142736,103.94,4.28
01-02-72,26.551,246.6,143017,106.57,4.27
01-03-72,26.542,251.3,143263,107.2,4.67
01-04-72,26.53,252.2,143483,107.67,4.96
01-05-72,26.571,255.4,143760,109.53,4.64
01-06-72,26.57,255.3,144033,107.14,4.93
01-07-72,26.68,258,144285,107.39,4.96
01-08-72,26.749,259.6,144522,111.09,4.98
01-09-72,26.946,262.7,144761,110.55,5.52
01-10-72,27.012,267.7,144988,111.58,5.52
01-11-72,27.098,267.9,145211,116.67,5.27
01-12-72,27.189,268.6,145446,118.05,5.52
01-01-73,27.387,272.5,145720,116.03,5.89
01-02-73,27.632,276.2,145943,111.68,6.19
01-03-73,28.017,277.6,146230,111.52,6.85
01-04-73,28.313,279.4,146459,106.97,6.85
01-05-73,28.497,280.7,146719,104.95,6.89
01-06-73,28.728,284.1,146981,104.26,7.31
01-07-73,28.773,289.9,147233,108.22,8.39
01-08-73,29.459,287.5,147471,104.25,8.82
01-09-73,29.481,292.3,147731,108.43,8.31
01-10-73,29.731,293.4,147980,108.29,7.4
01-11-73,30.154,299.1,148219,95.96,7.57
01-12-73,30.524,300.6,148479,97.55,7.27
01-01-74,31.053,305,148753,96.57,7.42
01-02-74,31.715,309.3,148982,96.22,6.88
01-03-74,32.303,312.3,149225,93.98,7.76
01-04-74,32.535,315.2,149478,90.31,8.62
01-05-74,32.909,318.6,149750,87.28,8.78
01-06-74,33.1,320.2,150012,86,8.67
01-07-74,33.313,324.4,150248,79.31,8.8
01-08-74,33.792,328.7,150493,72.15,9.36
01-09-74,34.214,329.9,150753,63.54,8.87
01-10-74,34.432,331.5,151009,73.9,8.05
01-11-74,34.73,331.5,151256,69.97,7.66
01-12-74,35.031,329.7,151494,68.56,7.31
01-01-75,35.19,334.4,151755,76.98,6.83
01-02-75,35.255,336.1,151990,81.59,5.98
01-03-75,35.232,338.1,152217,83.36,6.11
01-04-75,35.213,336.2,152443,87.3,6.9
01-05-75,35.296,348.8,152704,91.15,6.39
01-06-75,35.549,349.5,152976,95.19,6.29
01-07-75,35.995,353.6,153309,88.75,7.11
01-08-75,36.189,357.4,153580,86.88,7.7
01-09-75,36.238,356.8,153848,83.87,7.75
01-10-75,36.472,355.7,154082,89.04,6.95
01-11-75,36.615,360.4,154338,91.24,6.49
01-12-75,36.728,362.9,154589,90.19,6.6
01-01-76,36.789,369.3,154853,100.86,5.81
01-02-76,36.629,366,155066,99.71,5.91
01-03-76,36.536,367,155306,102.77,6.21
01-04-76,36.487,371.3,155529,101.64,5.92
01-05-76,36.654,370.4,155765,100.18,6.4
01-06-76,36.806,377.6,156027,104.28,6.52
01-07-76,36.945,377.9,156276,103.44,6.2
01-08-76,37.105,381,156525,102.91,6
01-09-76,37.263,382.9,156779,105.24,5.84
01-10-76,37.439,387.3,156993,102.9,5.5
01-11-76,37.59,388.2,157235,102.1,5.29
01-12-76,37.73,393.2,157438,107.46,4.89
01-01-77,37.909,394.5,157688,102.03,5.29
01-02-77,38.393,397.7,157913,99.82,5.47
01-03-77,38.52,397.1,158131,98.42,5.5
01-04-77,38.764,402.1,158371,98.44,5.44
01-05-77,38.978,404.6,158657,96.12,5.84
01-06-77,39.184,404.4,158929,100.48,5.8
01-07-77,39.29,409.8,159185,98.85,5.94
01-08-77,39.399,409,159430,96.77,6.37
01-09-77,39.451,410.9,159674,96.53,6.53
01-10-77,39.607,418.8,159915,92.34,6.97
01-11-77,39.878,426.5,160129,94.83,6.95
01-12-77,40.037,425.6,160377,95.1,6.96
01-01-78,40.213,424.2,160617,89.25,7.28
01-02-78,40.294,431.2,160831,87.04,7.34
01-03-78,40.608,437.8,161038,89.21,7.31
01-04-78,40.985,438.8,161263,96.83,7.45
01-05-78,41.357,445.7,161518,97.24,7.82
01-06-78,41.681,449.9,161795,95.53,8.09
01-07-78,41.867,450.7,162034,100.68,8.39
01-08-78,42.002,454.3,162259,103.29,8.31
01-09-78,42.193,461.8,162502,102.54,8.64
01-10-78,42.501,461.9,162783,93.15,9.14
01-11-78,42.75,469.5,163017,94.7,10.01
01-12-78,42.966,476.8,163272,96.11,10.3
01-01-79,43.504,478.9,163516,99.93,10.41
01-02-79,43.896,484.3,163726,96.28,10.24
01-03-79,44.395,490.5,164027,101.59,10.25
01-04-79,44.883,489.1,164162,101.76,10.12
01-05-79,45.434,499.4,164459,99.08,10.12
01-06-79,45.95,511.7,164721,102.91,9.57
01-07-79,46.478,511.3,164970,103.81,9.64
01-08-79,46.839,524.2,165198,109.32,9.98
01-09-79,47.366,531.5,165431,109.32,10.84
01-10-79,47.746,533.8,165813,101.82,12.44
